NintendoDS_2, [0.0292514, 0.0187901, -0.0491862, -0.0277239, -0.0255237, -0.384928], 0
1
GameTable_16, [0.0076557, 0.0955027, 0.0178522, 0.0974693, 0.0991942, 0.0958977], 0
Dresser_195, [0.028547, 0.0565639, -0.0542973, -0.110165, 0.0796186, -0.34389], 0.25
Mug_46, [0.0350832, -0.0363748, 0.0464161, -0.057833, 0.197336, -0.0770762], 0.25
Dresser_126, [-0.0311263, 0.13985, -0.0625623, -0.137679, 0.148868, -0.403845], 0
Printer_6, [0.0970372, 0.0588922, 0.0493386, 0.245799, -0.0188911, 0.145721], 0.25
Keyboard_13, [0.075351, 0.148397, 0.0178222, 0.206239, -0.011023, 0.0894419], 0
AccentTable_50, [0.0732234, 0.0590832, 0.0248835, 0.0822439, 0.0969358, -0.00393741], 0.25
TableClock_38, [0.0549271, 0.109022, -0.00692296, 0.280184, -0.0142582, 0.212384], 0
Desktop_11, [0.0149416, 0.224374, -0.0502975, 0.386686, 0.0595446, 0.344879], 0
Mug_27, [0.0446416, 0.0955425, 0.019782, 0.436211, -0.0403114, 0.393541], 0
CeilingLamp_7, [0.058827, 0.133064, -0.0199738, 0.180783, 0.0568773, 0.19469], 0
Vase_42, [0.0260184, 0.0666002, 0.0532205, 0.199428, -0.047016, 0.0753336], 0
Desk_195, [0.0131172, 0.077617, -0.00389474, -0.219921, -0.0113426, -0.323293], 0.5
Pan_21, [0.0437533, 0.159537, 0.0280593, 0.205619, -0.00173052, 0.0358128], 0
AccentTable_17, [-0.0560978, 0.0253889, 0.0372401, 0.108045, -0.0122332, -0.154906], 0.25
Fruit_2, [0.052188, 0.141307, 0.00661912, 0.00170233, 0.121953, -0.115166], 0
QueenBed_57, [-0.00549969, 0.12634, 0.0306866, 0.172058, 0.0898557, 0.00314322], 0.25
ChestOfDrawers_123, [0.0313592, 0.166144, 0.0246675, 0.081043, 0.0953495, -0.0178893], 0.25
Rug_38, [0.0360027, 0.0958624, 0.0100384, 0.25091, -0.00461071, 0.129358], 0
FloorLamp_33, [0.0272614, 0.11839, 0.0304668, 0.145062, 0.0657397, 0.0139928], 0
Toilet_7, [0.0145369, 0.11939, 0.0135426, 0.0757362, 0.140401, 0.0451942], 0
QueenBed_46, [-0.0742077, 0.156941, -0.00192378, 0.26705, -0.275271, -0.0139119], 0
Speaker_43, [0.0323191, 0.0695059, -0.0138204, 0.168023, 0.23342, 0.126243], 0.25
Vase_102, [0.00899084, 0.0624826, -0.0232282, -0.0731237, 0.0647317, -0.257112], 0.25
Room_2, [0.0176273, 0.119869, -0.0237909, -0.0705183, 0.0950482, -0.236718], 0.25
OfficeSideChair_41, [-0.047749, 0.150753, 0.00412716, 0.0228122, 0.0489043, -0.102387], 0.25
OfficeChair_31, [0.0615608, 0.147201, 0.0014705, 0.162775, -0.00128547, 0.115763], 0
Guitar_58, [0.0734384, 0.188586, -0.0594891, 0.417762, -0.115343, 0.332727], 0
TableLamp_7, [-0.0257317, 0.0958682, 0.00867437, 0.123532, 0.0538122, 0.0229503], 0
TableLamp_13, [0.0436322, 0.102463, 0.14952, 0.598858, -0.188503, 0.481996], 0
Vase_141, [-0.0464644, 0.0914491, -0.042115, 0.392, 0.0667395, 0.640385], 0.25
Bench_28, [0.0303253, 0.146612, 0.00517789, 0.230929, 0.0585407, 0.137133], 0
Headboard_2, [0.0107259, 0.0994686, -0.040804, -0.0588887, 0.0692652, -0.370153], 1
Cup_14, [-0.0056571, 0.0806268, 0.064959, 0.295764, 0.000875343, 0.177197], 0
QueenBed_71, [0.0566893, 0.0513057, 2.11261e-05, 0.18414, -0.118563, -0.0599021], 0.25
Microwave_17, [-0.135442, 0.19589, -0.0869719, 0.232909, -0.27999, 0.257037], 0.25
Airplane_8, [0.0155611, 0.155435, 0.00807997, 0.0437449, 0.0910215, 0.0977345], 0
Mattress_5, [0.109594, 0.129125, 0.0514749, 0.102982, 0.122502, 0.204672], 0.25
FloorLamp_33, [0.0137862, 0.100257, 0.0320026, 0.100735, 0.0523882, -0.0194242], 0
Book_5, [-0.0241109, 0.182132, -0.0101765, 0.161185, 0.0191223, -0.00140683], 0
Monitor_58, [0.198848, 0.205878, 0.106896, 0.510664, 0.0388453, 0.422396], 0
AccentTable_4, [0.0279063, 0.139867, 0.0321037, 0.0463598, 0.107771, -0.0285588], 0.25
MediaPlayer_23, [0.00885718, 0.0878298, 0.0101915, 0.105389, 0.0388941, 0.0580888], 0.5
RoundTable_27, [0.0683194, 0.204848, -0.102432, 0.192977, 0.151846, -0.0405014], 0
Painting_36, [0.043671, 0.229036, 0.0298087, 0.209145, 0.0737961, 0.0346974], 0.25
WallLamp_24, [-0.0390745, 0.0678011, 0.0305781, -0.0337422, 0.0533459, -0.0576785], 0.5
AccentChair_10, [-0.00454343, 0.0690556, -0.00191931, 0.0972944, 0.0859715, 0.121265], 0
DeskLamp_90, [-0.0282303, 0.0958571, -0.00426469, 0.0925644, 0.0826167, -0.0620221], 0
Desk_26, [0.0164761, 0.0854695, -0.0246462, 0.225508, 0.0530708, -0.0258339], 0.25
Sword_10, [0.0212777, 0.158412, 0.0633019, 0.150475, 0.180945, -0.0237335], 0
Couch_146, [0.0828737, 0.165388, 0.016247, 0.0511479, 0.140033, -0.3349], 0.25
